Accuracy,Sensitivity,Specificity,Dice
0.9640562492423032,0.7584918478258293,0.9841940636230205,0.7901627742390676
0.9616498969571777,0.7124001183780077,0.9900867744875919,0.7918681535575526
0.9481482603951706,0.7085094092965956,0.9746824790366828,0.731492961283019
0.9568402230573112,0.6346445279038563,0.9894828541484152,0.7301256419487332
0.9591405018789866,0.7378040890266764,0.9820196088921851,0.7718627318260506
0.9539974542368482,0.7173994270766231,0.9795094076093196,0.7522160009140286
0.9590041217116936,0.6945807906604223,0.9855974490340156,0.7558876076009681
0.9497848224026867,0.6961146923101567,0.9736645765010238,0.7046155491771336
0.9599921202569717,0.714670356381319,0.9816271407794043,0.7432860782138843
0.9608679839980312,0.774304021210497,0.9775993712103876,0.7650911472545273
0.9580918899260226,0.6577406141031661,0.9876240342718722,0.737539384276518
0.9532852466965404,0.7317304317301748,0.9742229740935756,0.7300903551164933
0.955724936355893,0.6831271893112982,0.9852637377771325,0.7510522638582297
0.9596163171293199,0.76245454886203,0.9769588140449357,0.7532635867047953
0.9530730997696402,0.8268823579229156,0.9628002324169088,0.7160774534251291
0.9623924112013286,0.7031653855188804,0.9881200257188121,0.7714943375378379
0.9553915626136211,0.7372181530946657,0.9755054483826653,0.736147709957742
0.9585646745059716,0.7591416768662946,0.9757254390815172,0.7438069182624248
0.9627894290216704,0.8484162069340366,0.9731351767578803,0.7909131160381474
0.9591526245605236,0.80762415000997,0.9711804249333168,0.7441145200484615
0.9575781912958854,0.7333209997211707,0.9794500016400332,0.7505554145620372
